CSC10001,Nhap mon lap trinh,21CTT1,Nguyen Van Thai,MON,S1,4,50
CSC10002,Ki thuat lap trinh,21CLC,Nguyen Thi Binh,TUE,S1,4,50
MTH00001,Toan roi rac,21CTT1,Vo Le Kim Ngan,WED,S3,4,50
MTH00002,Vi tich phan 1B,21APCS,Tran Minh Tam,THU,S2,4,50
CSC10004,Khoa hoc may tinh,21VP,Vu Trong Binh,SAT,S1,4,50
CSC10005,Cau truc dl va gt,21CTT1,Trinh Cong Ly,FRI,S1,4,50
CSC10006,Mang may tinh,21CLC,Vu Le,MON,S4,4,50
CSC10007,Huong doi tuong,21APCS,Nguyen Viet Trong,THU,S2,4,50
MTH10003,Vi tich phan 2B,21CTT1,Vo Nhat Anh,TUE,S4,4,50
CSC10009,Ki thuat phan mem,21CLC,Nguyen Trong Bao,MON,S3,4,50
